split_day_name,muscle_group,sets
Push Day,Brust,2
Push Day,Schulter,2
Push Day,Trizeps,3

Pull Day,Rücken,2
Pull Day,Bizeps,3
Pull Day,Schulter,2

Leg Day,Beine,6

Upper Day,Brust,2
Upper Day,Rücken,2
Upper Day,Schulter,2
Upper Day,Bizeps,1
Upper Day,Trizeps,1

Lower Day,Beine,5

Ganzkörper,Rücken,2
Ganzkörper,Brust,2
Ganzkörper,Schulter,1
Ganzkörper,Bizeps,2
Ganzkörper,Trizeps,2

Brust-Tag,Brust,5
Rücken-Tag,Rücken,5
Beine-Tag,Beine,5
Schultern-Tag&Arme-Tag,Bizeps,5
Schultern-Tag,Schulter,5
Arme-Tag,Trizeps,5
Bizeps-Tag,Bizeps,5
Trizeps-Tag,Trizeps,5
