split_name,days,day_index,day_name
bro,4,1,Brust-Tag
bro,4,2,Rücken-Tag
bro,4,3,Beine-Tag
bro,4,4,Schultern-Tag&Arme-Tag
bro,5,1,Brust-Tag
bro,5,2,Rücken-Tag
bro,5,3,Beine-Tag
bro,5,4,Schultern-Tag
bro,5,5,Arme-Tag
bro,6,1,Brust-Tag
bro,6,2,Rücken-Tag
bro,6,3,Beine-Tag
bro,6,4,Schultern-Tag
bro,6,5,Trizeps-Tag
bro,6,6,Bizeps-Tag
full,2,1,Ganzkörper
full,2,2,Ganzkörper
full,3,1,Ganzkörper
full,3,2,Ganzkörper
full,3,3,Ganzkörper
pp,2,1,Push Day
pp,2,2,Pull Day
pp,4,1,Push Day
pp,4,2,Pull Day
pp,4,3,Push Day
pp,4,4,Pull Day
pp,6,1,Push Day
pp,6,2,Pull Day
pp,6,3,Push Day
pp,6,4,Pull Day
pp,6,5,Push Day
pp,6,6,Pull Day
ppl,3,1,Push Day
ppl,3,2,Pull Day
ppl,3,3,Leg Day
ppl,6,1,Push Day
ppl,6,2,Pull Day
ppl,6,3,Leg Day
ppl,6,4,Push Day
ppl,6,5,Pull Day
ppl,6,6,Leg Day
ul,2,1,Upper Day
ul,2,2,Lower Day
ul,4,1,Upper Day
ul,4,2,Lower Day
ul,4,3,Upper Day
ul,4,4,Lower Day
ul,6,1,Upper Day
ul,6,2,Lower Day
ul,6,3,Upper Day
ul,6,4,Lower Day
ul,6,5,Upper Day
ul,6,6,Lower Day
